tt0086250	8.3	784191
tt1843866	7.7	783782
tt0253474	8.5	776838
tt2582802	8.5	771359
tt0118715	8.1	770563
tt0246578	8	767988
tt0075314	8.2	767379
tt1228705	7	763893
tt0416449	7.6	760524
tt0120915	6.5	760075
tt0898266	8.1	756993
tt2278388	8.1	752102
tt0401792	8	751770
tt1663202	8	749223
tt1119646	7.7	747261
tt1205489	8.1	745779
tt0121766	7.5	741992
tt0050083	9	735183
tt0770828	7	734065
tt0145487	7.3	731240
tt0211915	8.3	728356
tt0947798	8	728123
tt0083658	8.1	727650
tt0317248	8.6	725480
tt2084970	8	722936
tt0060196	8.8	722314
tt0097576	8.2	721101
tt0378194	8	718286
tt0480249	7.2	717728
tt3498820	7.8	715812
tt0241527	7.6	706325
tt0093058	8.3	705601
tt0245429	8.6	700496
tt0892769	8.1	697973
tt3315342	8.1	695210
tt0317705	8	684971
tt1825683	7.3	684295
tt1045658	7.7	683659
tt0773262	8.6	683387
tt0090605	8.3	682983
tt1877832	7.9	682697
tt0383574	7.3	679378
tt0382932	8	674069
tt0121765	6.5	669574
tt2024544	8.1	668487
tt2975590	6.4	667882
tt1074638	7.8	666338
tt1270798	7.7	665803
tt0405159	8.1	660994
tt0117951	8.1	659427
tt1285016	7.7	659353
tt2096673	8.1	659232
tt1504320	8	658956
tt1136608	7.9	658032
tt0118799	8.6	656525
tt1386697	5.9	655594
tt3501632	7.9	655150
tt1211837	7.5	651983
tt0116282	8.1	646884
tt1392214	8.1	646302
tt2543164	7.9	644670
tt0126029	7.9	642030
tt0457430	8.2	641965
tt0460649	8.3	638097
tt1951264	7.5	636373
tt1631867	7.9	636215
tt0054215	8.5	635698
tt0062622	8.3	634040
tt0078788	8.4	634003
tt1981115	6.8	633318
tt0816711	7	630077
tt1170358	7.8	625376
tt1670345	7.2	624547
tt0381061	8	623272
tt2802144	7.7	621026
tt0440963	8	618283
tt0421715	7.8	617972
tt0449088	7.1	617521
tt3896198	7.6	617165
tt0451279	7.4	615693
tt0418279	7	615542
tt0478970	7.3	613048
tt0113277	8.2	612811
tt0988045	7.6	606166
tt0369610	7	604526
tt2562232	7.7	604177
tt0454876	7.9	603165
tt5013056	7.8	602524
tt0780504	7.8	599375
tt0114746	8	598271
tt0107048	8	598045
tt0758758	8.1	597644
tt2294629	7.4	594981
tt1024648	7.7	593200
tt2527336	6.9	592875
tt0796366	7.9	591640
tt0120903	7.4	590558
tt1637725	6.9	589033
tt1446714	7	587568
tt0295297	7.4	586858
tt0948470	6.9	585801
tt0304141	7.9	584952
tt3748528	7.8	584559
tt0936501	7.8	583022
tt2911666	7.4	583011
tt0316654	7.3	580729
tt0330373	7.7	578708
tt1798709	8	571973
tt0073195	8	568333
tt2250912	7.4	561890
tt0120735	8.2	557948
tt0162222	7.8	556810
tt3460252	7.8	556227
tt0119488	8.2	554971
tt1276104	7.4	552893
tt0116629	7	551592
tt0120363	7.9	551361
tt0469494	8.2	549111
tt1219289	7.4	547752
tt0234215	7.2	547214
tt0829482	7.6	546406
tt1156398	7.6	546106
tt0034583	8.5	545836
tt0364569	8.4	545342
tt0332280	7.8	543803
tt0075148	8.1	543324
tt0240772	7.7	542580
tt3783958	8	542434
tt1250777	7.6	542163
tt0119654	7.3	539361
tt0373889	7.5	539314
tt5052448	7.7	537139
tt0365748	7.9	534242
tt0144084	7.6	532307
tt1232829	7.2	530769
tt0290334	7.4	529648
tt0181689	7.6	529135
tt0409459	7.6	528820
tt0413300	6.2	528705
tt2356777	8.9	526597
tt0258463	7.9	526281
tt5463162	7.7	524288
tt0411008	8.3	522502
tt0450259	8	522411
tt0071853	8.2	520258
tt1323594	7.6	519802
tt0343818	7.1	517727
tt0099785	7.6	511624
tt1856101	8	511550
tt1318514	7.5	510520
tt0332452	7.3	509668
tt1343092	7.2	507486
tt0926084	7.7	507073
tt0470752	7.7	506422
tt0467406	7.4	504882
tt0096874	7.8	504534
tt1483013	7	504097
tt0417741	7.6	503616
tt0443706	7.7	502535
tt0945513	7.5	502261
tt0455275	8.3	501699
tt2872718	7.8	500749
tt1298650	6.6	500271
tt4154664	6.8	498386
tt0376994	6.7	498308
tt1396484	7.3	497664
tt2310332	7.4	497489
tt1570728	7.4	494734
tt1727824	7.9	493159
tt0095953	8	492288
tt0112641	8.2	491376
tt1022603	7.7	490794
tt2085059	8.8	486268
tt0425112	7.8	484758
tt1659337	7.9	484536
tt0458525	6.6	484324
